full_comm
slot_id,slot_loss,updated,num_agent_outputs,chosen_subset,avg_score,det_count,count_penalty,reward,num_active_nodes,message_type,fusion_mode,comm_cost,num_messages
0,0.5908518433570862,0,7,,0.0,0,0.0,0.0,7,,,0,42
1,0.6305722594261169,0,7,,0.0,0,0.0,0.0,7,,,0,42
2,0.4354911148548126,0,7,,0.0,0,0.0,0.0,7,,,0,42
3,0.3590485453605652,0,7,,0.0,0,0.0,0.0,7,,,0,42
4,0.41521155834198,0,7,,0.0,0,0.0,0.0,7,,,0,42
5,0.42906466126441956,0,7,,0.0,0,0.0,0.0,7,,,0,42
6,0.3995401859283447,0,7,,0.0,0,0.0,0.0,7,,,0,42
7,0.5291531682014465,0,7,,0.0,0,0.0,0.0,7,,,0,42
8,0.5119994878768921,0,7,,0.0,0,0.0,0.0,7,,,0,42
9,0.508561909198761,0,7,,0.0,0,0.0,0.0,7,,,0,42
10,0.38756510615348816,0,7,,0.0,0,0.0,0.0,7,,,0,42
11,0.4027359187602997,0,7,,0.0,0,0.0,0.0,7,,,0,42
12,0.434823215007782,0,7,,0.0,0,0.0,0.0,7,,,0,42
13,0.46108943223953247,0,7,,0.0,0,0.0,0.0,7,,,0,42
14,0.4066004455089569,0,7,,0.0,0,0.0,0.0,7,,,0,42
15,0.5756851434707642,0,7,,0.0,0,0.0,0.0,7,,,0,42
16,0.49311357736587524,0,7,,0.0,0,0.0,0.0,7,,,0,42
17,0.3924444317817688,0,7,,0.0,0,0.0,0.0,7,,,0,42
18,0.4001546800136566,0,7,,0.0,0,0.0,0.0,7,,,0,42
19,0.4300994873046875,0,7,,0.0,0,0.0,0.0,7,,,0,42
20,0.32935500144958496,0,7,,0.0,0,0.0,0.0,7,,,0,42
21,0.38304921984672546,0,7,,0.0,0,0.0,0.0,7,,,0,42
22,0.4274754226207733,0,7,,0.0,0,0.0,0.0,7,,,0,42
23,0.36675503849983215,0,7,,0.0,0,0.0,0.0,7,,,0,42
24,0.38075417280197144,0,7,,0.0,0,0.0,0.0,7,,,0,42
25,0.45178884267807007,0,7,,0.0,0,0.0,0.0,7,,,0,42
26,0.3654879629611969,0,7,,0.0,0,0.0,0.0,7,,,0,42
27,0.42443984746932983,0,7,,0.0,0,0.0,0.0,7,,,0,42
28,0.4909825026988983,0,7,,0.0,0,0.0,0.0,7,,,0,42
29,0.39941486716270447,0,7,,0.0,0,0.0,0.0,7,,,0,42
30,0.426985502243042,0,7,,0.0,0,0.0,0.0,7,,,0,42
31,0.4536570906639099,0,7,,0.0,0,0.0,0.0,7,,,0,42
32,0.43243029713630676,0,7,,0.0,0,0.0,0.0,7,,,0,42
33,0.41782230138778687,0,7,,0.0,0,0.0,0.0,7,,,0,42
34,0.4913356602191925,0,7,,0.0,0,0.0,0.0,7,,,0,42
35,0.45943117141723633,0,7,,0.0,0,0.0,0.0,7,,,0,42
36,0.45467859506607056,0,7,,0.0,0,0.0,0.0,7,,,0,42
37,0.46616023778915405,0,7,,0.0,0,0.0,0.0,7,,,0,42
38,0.3842843770980835,0,7,,0.0,0,0.0,0.0,7,,,0,42
39,0.5696099996566772,0,7,,0.0,0,0.0,0.0,7,,,0,42

no_comm
slot_id,slot_loss,updated,num_agent_outputs,chosen_subset,avg_score,det_count,count_penalty,reward,num_active_nodes,message_type,fusion_mode,comm_cost,num_messages
0,1.2504693269729614,0,7,,0.0,0,0.0,0.0,0,,,0,0
1,1.2943686246871948,0,7,,0.0,0,0.0,0.0,0,,,0,0
2,1.2665627002716064,0,7,,0.0,0,0.0,0.0,0,,,0,0
3,1.220078468322754,0,7,,0.0,0,0.0,0.0,0,,,0,0
4,1.2165236473083496,0,7,,0.0,0,0.0,0.0,0,,,0,0
5,1.1428768634796143,0,7,,0.0,0,0.0,0.0,0,,,0,0
6,1.2061500549316406,0,7,,0.0,0,0.0,0.0,0,,,0,0
7,1.2586283683776855,0,7,,0.0,0,0.0,0.0,0,,,0,0
8,1.2508716583251953,0,7,,0.0,0,0.0,0.0,0,,,0,0
9,1.2553741931915283,0,7,,0.0,0,0.0,0.0,0,,,0,0
